"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"McDonald's","1320 Edwin Miller Boulevard","Martinsburg","WV","25404","mcdonald-s-martinsburg-659167","Yes","0","No",""
"Chipotle","927 Foxcroft Avenue","Martinsburg","WV","25401","chipotle-martinsburg-640468","Yes","0","No",""
"Wendy's","1101 North Queen Street","Martinsburg","WV","25404","wendy-s-martinsburg-570286","Yes","0","No",""
"Buffalo Wild Wings","700 Foxcroft Avenue","Martinsburg","WV","25401","buffalo-wild-wings-martinsburg-612070","Yes","0","No",""
"Chopsticks Asian Cuisine","212 Eagle School Road","Martinsburg","WV","25404","chopsticks-asian-cuisine-martinsburg-583922","No","0","No",""
"Finn Thai Resturant","748 Foxcroft Avenue","Martinsburg","WV","25401","finn-thai-restaurant-martinsburg-610554","No","0","No",""
"Chili's","884 Foxcroft Avenue","Martinsburg","WV","25401","chili-s-grill-bar-martinsburg-627868","Yes","0","No",""
"Five Guys WV-1831","880 Foxcroft Avenue","Martinsburg","WV","25401","five-guys-martinsburg-631451","No","0","No",""
"Jersey Mike's Subs","245 Retail Commons Parkway","Martinsburg","WV","25403","jersey-mike-s-subs-martinsburg-627962","No","0","No",""
"Popeyes Louisiana Kitchen","23 Elwood Street","Martinsburg","WV","25404","popeye-s-louisiana-kitchen-martinsburg-653176","Yes","0","No",""
"Asian Garden","970 Foxcroft Avenue","Martinsburg","WV","25401","asian-garden-martinsburg-625462","No","0","No",""
"Cafe Del Sol","796 Foxcroft Avenue","Martinsburg","WV","25401","cafe-del-sol-martinsburg-644774","Yes","0","No",""
"The Final Score","1517 Winchester Avenue","Martinsburg","WV","25405","the-final-score-martinsburg-669002","Yes","0","No",""
"Cinco De Mayo","5724 Hammonds Mill Road","Martinsburg","WV","25404","cinco-de-mayo-martinsburg-617816","No","0","No",""
"Applebee's","755 Foxcroft Avenue","Martinsburg","WV","25401","applebee-s-grill-bar-martinsburg-638600","No","0","No",""
"Taco Bell","1359 Edwin Miller Boulevard","Martinsburg","WV","25404","taco-bell-martinsburg-574465","Yes","0","No",""
"Fiesta Tapatia","201 Viking Way","Martinsburg","WV","25401","fiesta-tapatia-martinsburg-583149","No","0","No",""
"Habanero Mexican Grill","100 North Queen Street","Martinsburg","WV","25401","habanero-mexican-grill-martinsburg-583223","No","0","No",""
"China King Restaurant","Courthouse Drive","Martinsburg","WV","25401","china-king-restaurant-martinsburg-583197","No","0","No",""
"China Spring","5724 Hammonds Mill Road","Martinsburg","WV","25404","china-spring-martinsburg-583226","No","0","No",""
"New Peking","139 South Queen Street","Martinsburg","WV","25401","new-peking-martinsburg-583656","No","0","No",""
"Tokyo Steakhouse","5724 Hammonds Mill Road","Martinsburg","WV","25404","tokyo-steakhouse-martinsburg-584181","No","0","No",""
"Spice Connexion","796 Foxcroft Avenue","Martinsburg","WV","25401","spice-connexion-martinsburg-584153","No","0","No",""
